title,link,summary,pub_date
"MBK파트너스, '아시아나 화물 M&A'서 빠진 이유는 [넘버스]",https://www.bloter.net/news/articleView.html?idxno=617566, 국내 최대 사모펀드(PEF) 운용사인 MBK파트너스가 아시아나항공 화물기사업부 인수전에서 빠진다. 정책당국 안팎에서 외국자본에 대한 매각 우려가... 시장에서는 에어프레미아의 든든한 우군이었던 MBK파트너스가 아시아나항공 화물기사업부 인수전에서 빠지며 어느 LCC가 거래당사자로 선정될지에... ,2024.06.12.
"가천대 길병원, 아시아나항공과 해외 환자 유치 협약",https://www.kmib.co.kr/article/view.asp?arcid=0020219431&code=61121111&cp=nv," 가천대 길병원은 19일 여성암병원 회의실에서 아시아나항공과 해외 환자 유치 활성화를 위한 업무협약을 체결했다. 이날 협약식에는 김우경 병원장, 박흥규 제2진료부원장, 이원석 국제의료센터장 등 길병원 주요 임원과 원유석 대표이사, 이승환 온라인마케팅부문 상무 등 아시아나항공 주요 임원 등이... ",2024.06.19.
"""하늘 무대서 K클래식을""…국립심포니·아시아나항공, '문화 마케팅 협...",https://www.news1.kr/articles/5451648," 국립심포니오케스트라는 아시아나항공과 문화예술 활성화를 위한 전략적 파트너십을 체결했다고 18일 밝혔다. 국립심포니에 따르면, 17일 아시아나항공과 문화 마케팅 협약을 맺었다. 향후 문화예술분야 협업 마케팅을 진행해 양사의 시너지를 극대화할 계획이다. 주요 협약 내용은 △국립심포니오케스트라의... ",2024.06.19.
"유니세프 한국위원회, 30년간 아시아나항공과 ‘아름다운 동행’",https://www.donga.com/news/Society/article/all/20240625/125596946/2, 유니세프 한국위원회 첫 후원 기업 아시아나항공… ‘사랑의 동전 모으기’ 국내에서 최초 전개 그중에서도 아시아나항공은 유니세프 한국위원회 설립 30주년과 역사를 같이한다. 1994년 2월 지구촌 어린이를 위한 ‘사랑의 동전 모으기’ 캠페인 협약을 맺으며 유니세프 한국위원회의 첫 후원 기업이... ,E1면 TOP
"서울관광재단, 스카이스캐너 공동 프로모션 예약 1만여 건, 매출 34억 기...",https://sports.donga.com/article/all/20240630/125690785/1," 아시아나항공과 티웨이항공의 협업을 했다. 프로모션 기간 동안 9229건의 항공 및 호텔 상품예약, 34억 원의 매출을 기록했다. 부문별로는 항공권이 4829건, 호텔 상품이 4400건이었다. 권혁빈 서울관광재단 글로벌마케팅팀장은 “스카이스캐너, 그리고 민간 항공사와 협업하여 진행한 첫 사례였지만 기대보다... ",2024.06.30.
"에어마카오X아시아나세이버, 예약 발권 프로모션 시상식 개최",https://www.gukjenews.com/news/articleView.html?idxno=3027900," 사진/에어마카오 에어마카오가 아시아나 세이버와 공동으로 주관한 GDS세이버 예약 발권 프로모션 시상식을 개최했다. 이번 프로모션은 4월 22일부터 6월 2일까지 6주 동안 아시아나 세이버를 통해 예약 발권한 에어마카오 PNR을 대상으로 전체 노선 최다 판매, 동남아 이원구간 최다 판매 및 NX825편 최다... ",2024.06.25.
"이병국 소시어스PE 대표 “에어인천, 아시아나 화물 인수로 수익 대폭 ...",http://www.metroseoul.co.kr/article/20240623500262, 에어인천의 아시아나항공 화물사업 인수 이후 가장 기대하는 성과에 대해 이같이 답했다. 양사의 서로 다른 기재와 주요 운항지역을 효율적으로 결합해 고객에게 더 다양한 서비스를 제공함으로써 매출을 높이겠다는 전략이다. 대한항공은 지난 17일 이사회를 열고 아시아나항공 화물기 사업 매각... ,2024.06.23.
유니세프 블루라이트 옷 입은 아시아나 항공기,https://www.kmib.co.kr/article/view.asp?arcid=0020191639&code=61121111&cp=nv, 11일 인천 중구 아시아나항공 제1격납고에서 열린 아시아나항공-유니세프 사회공헌협약 30주년 기념행사에서 아시아나 강훈영 부기장과 강단아 양이 보잉 777 항공기에 비춰지는 미디어 파사드 형식의 라이트를 살펴보고 있다. 아시아나항공은 1994년 2월 유니세프 한국위원회와 사회공헌협약을 체결한 이래... ,2024.06.11.
"대한항공, 아시아나항공 화물 인수자로 에어인천 선정",http://www.iminju.net/news/articleView.html?idxno=103089, 민주신문=박현우 기자｜대한항공은 이사회를 열고 아시아나항공 화물기 사업 매각 우선협상대상자로 에어인천을 선정했다고 밝혔다. 17일 업계에 따르면 대한항공은 이날 아시아나항공 화물기 사업 매각 우선협상대상자로 에어인천을 공식 선정했다. 대한항공은 선정 배경으로 ▲사업 인수시 거래 확실성... ,2024.06.17.
"아시아나항공, 가천대 길병원과 K-메디컬 관광 MOU",http://www.m-i.kr/news/articleView.html?idxno=1131505, 원유석 아시아나항공 사장(왼쪽)과 김우경 가천대 길병원 병원장이 '방한 외국인 의료 관광객 유치 업무협약(MOU)식에서 기념 촬영을 하고 있다. 사진=아시아나항공 제공 매일일보 = 박지성 기자  |  아시아나항공은 가천대 길병원과 외국인 의료 관광객 수요 활성화를 위한 업무협약(MOU)을 체결했다고 19일... ,2024.06.19.
"'고래 삼킨' 에어인천, '승자의 저주' 피해갈까ㅣ아시아나 화물 M&A [넘버...",https://www.bloter.net/news/articleView.html?idxno=617915, 항공업계 6위의 에어인천이 2위 아시아나항공 화물기사업부의 인수를 위한 우선협상대상자로 선정됐다. 일부에서는 에어인천이 다른 저비용항공사(LCC)... 19일 투자은행(IB) 및 항공업계에 따르면 아시아나항공 화물기사업부 매각주관사인 UBS는 우선협상대상자로 에어인천을 선정하고 후속 협의를 벌이고... ,2024.06.19.
"불확실성 줄어든 아시아나 화물 매각, 이르면 이달말 마무리",https://biz.newdaily.co.kr/site/data/html/2024/06/14/2024061400054.html, 뉴데일리 김재홍 기자 = 대한항공과 아시아나항공 합병의 필수 단계인 ‘아시아나항공 화물사업’ 매각 우선협상대상자가 조만간 선정된다. 최근 MBK파트너스가 에어프레미아 컨소시엄에서 빠져 외국인 주주 관련 논란이 해소되면서 대한항공 합병도 막바지 탄력을 받을 전망이다. 14일 업계에 따르면... ,2024.06.14.
"아시아나 화물 매각, 에어인천과 우선협상",https://www.chosun.com/economy/industry-company/2024/06/15/ND45GAA5SRG4FJ46355GVX2Q4Q/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news, 대한항공 합병 승인에도 긍정적 아시아나항공 화물사업부 매각 우선협상대상자로 국내 유일 화물 전용 항공사인 에어인천이 선정된 것으로 14일... 아시아나항공 화물 매각은 지난 2월 유럽연합 경쟁 당국(EC)이 대한항공과 아시아나의 인수·합병을 조건부 승인하면서 독과점을 해소하기 위한 시정 조치로... ,A16면 1단
"[fn마켓워치]MBK, 아시아나항공 화물사업부 인수 안한다",http://www.fnnews.com/news/202406121357145503, MBK파트너스가 아시아나항공 화물사업부를 인수하지 않는다. 국토교통부 내부에서 해외자본에 대한 우려가 나온 후 결정이다. MBK파트너스는... 아시아나 화물사업부 매각은 당초 5월 말 우선협상대상자를 선정할 계획이었으나 아직까지 발표가 없다. 대한항공·아시아나 합병에 따른 독과점 이슈로 인해... ,2024.06.12.
"아시아나 화물, 에어인천 품으로…대한항공 합병 청신호",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202406170141&t=NNv, 기업결합을 추진 중인 대한항공이 아시아나항공 화물사업부 매각 우선협상대상자로 에어인천을 선정했습니다. 지난 10년 간 화물 사업에서 쌓은 전문성을 높이 평가한 겁니다. 유럽 경쟁당국이 지적한 노선 독과점 해소에 대한 윤곽이 나타난 만큼 대한항공의 아시아나항공 합병에도 청신호가 켜진 것으로... ,2024.06.17.
"아시아나 화물, 에어인천으로… 대한항공 합병 美승인만 남아",https://www.seoul.co.kr/news/economy/industry/2024/06/18/20240618019001?wlog_tag3=naver, 아시아나항공 화물사업 인수 후보자로 에어인천이 선정되면서 3년 넘게 진행 중인 대한항공과 아시아나항공의 기업결합 절차에 사실상 미국의 합병 승인만 남게 됐다. 대한항공은 17일 이사회를 열고 에어인천을 아시아나항공 화물사업 매각 우선협상대상자로 선정했다고 밝혔다. 에어인천은 2012년 설립된... ,19면 1단
"아시아나항공, 가천대 길병원과 '방한 외국인 의료 관광객 유치' 맞손",https://www.newspim.com/news/view/20240619000125, 아시아나항공이 가천대 길병원과 외국인 의료 관광객 수요 활성화를 위한 MOU를 체결했다고 19일 밝혔다. 아시아나항공 항공기 [사진=아시아나항공] 이번 협약에 따라 아시아나항공은 길병원 진료를 위해 한국을 방문하는 중앙아시아 노선(울란바토르·타슈켄트·알마티) 방한 외국인 탑승객들에게 최대 15... ,2024.06.19.
"아시아나항공, 국립심포니오케스트라와 문화마케팅 '맞손'",https://www.asiatime.co.kr/article/20240617500031," 오케스트라 단원 항공권·악기 운송 할인 아시아나클럽 회원 대상 공연 할인 제공 ""문화예술 저변 확대에 기여할 것"" [아시아타임즈=김미나 기자] 아시아나항공이 국립심포니오케스트라와 문화예술분야 협업 마케팅을 진행한다. 아시아나항공 A350 항공기. (사진=아시아나항공) 아시아나항공은... ",2024.06.17.
"아시아나항공, 국립심포니오케스트라와 문화마케팅 업무협약 체결",http://www.biztribune.co.kr/news/articleView.html?idxno=314612," 아시아나항공 A350 항공기. 사진: 아시아나항공 아시아나항공이 '국립심포니오케스트라'와 문화예술 활성화를 위한 전략적 파트너십을 맺고 협업 마케팅을 진행하겠다고 17일 밝혔다. 이번 협약에 따라 아시아나항공은 ▲국립심포니오케스트라 단원 해외 공연시, 항공권·악기 화물 운송 할인 ▲공연 영상물 기내... ",2024.06.17.
"에어인천, 아시아나 화물 품는다",http://www.fnnews.com/news/202406141401210753, 화물전용 항공사 에어인천이 아시아나항공 화물사업부를 인수할 전망이다. 14일 업계에 따르면 에어인천이 아시아나항공 화물사업자 인수의 우선협상대상자로 내정된 것으로 알려졌다. 대한항공은 오는 17일 이사회를 열고 매각안을 승인해 에어인천에 결과를 통보할 예정이다. 대한항공-아시아나항공... ,2024.06.14.
"에어부산 분리매각 난항, 통합 LCC 본사는 인천에?",https://www.sisaweek.com/news/articleView.html?idxno=215728," 시사위크=제갈민 기자 대한항공과 아시아나항공의 합병이 9부 능선을 넘은 상황이다. 이에 양사가 보유한 저비용항공사(LCC)의 통합에 대해서도 관심이 높아지고 있는데, 특히 부산지역에서는 에어부산의 분리매각과 통합 LCC 본사의 부산 유치 등을 요구하는 목소리가 이어지고 있다. 다만 아시아나항공... ",2024.06.25.
"에어인천, 아시아나 화물 인수 최종 선정... MRO·장거리 과제",http://www.incheontoday.com/news/articleView.html?idxno=248235, 인천투데이=박규호·인투아이(INTO-AI) 기자 | 인천국제공항 기반 국내 유일 화물 전용 저비용항공사(LCC) 에어인천이 아시아나항공 화물사업부 매입 우선협상대상자로 최종 선정됐다. 항공정비(MRO) 시설 확보와 화물기 추가 확보가 과제로 제시된다. 대한항공은 17일 이사회를 열고 아시아나항공 화물 사업 매각... ,2024.06.17.
"아시아나·유니세프, 항공기에 처음 파란 불빛 비췄다",https://www.hankookilbo.com/News/Read/A2024061114220005685?did=NA, 아시아나항공은 유니세프와 사회공헌 협약 30주년을 기념하는 '블루라이트' 행사를 열었다고 11일 알렸다. 아시아나항공과 유니세프는 이날 인천국제공항의 제1격납고에서 보잉777 항공기에 유니세프를 상징하는 색인 파란 조명을 비췄다고 전했다. 이날 행사에는 원유석 아시아나항공 사장과 조미진... ,15면 1단
